Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Conf,,,
22,Atlanta Hawks*,82,19880,3123,6918,0.451,729,2137,0.341,2394,4781,0.501,1484,2039,0.728,842,2793,3635,1938,672,397,1294,1491,8459,16-17,East,,,
23,Chicago Bulls*,82,19780,3169,7141,0.444,623,1831,0.34,2546,5310,0.479,1474,1848,0.798,999,2797,3796,1851,643,393,1112,1455,8435,16-17,East,,,
24,Sacramento Kings,82,19880,3105,6734,0.461,737,1960,0.376,2368,4774,0.496,1483,1913,0.775,715,2652,3367,1844,627,324,1201,1667,8430,16-17,West,,,
25,Philadelphia 76ers,82,19830,3088,6992,0.442,831,2443,0.34,2257,4549,0.496,1393,1806,0.771,807,2706,3513,1949,692,420,1366,1793,8400,16-17,East,,,
26,Detroit Pistons,82,19805,3269,7282,0.449,631,1915,0.33,2638,5367,0.492,1140,1586,0.719,908,2838,3746,1732,574,310,973,1467,8309,16-17,East,,,
27,Orlando Magic,82,19805,3139,7133,0.44,701,2139,0.328,2438,4994,0.488,1309,1753,0.747,807,2734,3541,1820,580,396,1091,1584,8288,16-17,East,,,
28,Utah Jazz*,82,19755,3033,6515,0.466,791,2128,0.372,2242,4387,0.511,1401,1875,0.747,771,2774,3545,1651,550,410,1118,1545,8258,16-17,West,,,
29,Memphis Grizzlies*,82,19905,2984,6854,0.435,767,2169,0.354,2217,4685,0.473,1504,1918,0.784,886,2621,3507,1744,653,344,1059,1840,8239,16-17,West,,,
30,Dallas Mavericks,82,19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,647,2516,3163,1705,614,307,972,1567,8029,16-17,West,,,
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Conf,,,
1,Golden State Warriors*,82,19880,3489,7159,0.487,1077,2592,0.416,2412,4567,0.528,1366,1790,0.763,816,2972,3788,2373,689,498,1245,1701,9421,15-16,West,,,
2,Oklahoma City Thunder*,82,19830,3372,7082,0.476,678,1945,0.349,2694,5137,0.524,1616,2067,0.782,1071,2916,3987,1883,603,487,1305,1691,9038,15-16,West,,,
3,Sacramento Kings,82,19805,3283,7083,0.464,660,1839,0.359,2623,5244,0.5,1514,2089,0.725,868,2760,3628,2009,733,368,1326,1676,8740,15-16,West,,,
4,Houston Rockets*,82,19830,3094,6847,0.452,878,2533,0.347,2216,4314,0.514,1671,2407,0.694,930,2601,3531,1821,821,430,1307,1790,8737,15-16,West,,,
5,Boston Celtics*,82,19780,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.788,950,2733,3683,1981,752,348,1127,1796,8669,15-16,East,,,
6,Portland Trail Blazers*,82,19805,3167,7040,0.45,864,2336,0.37,2303,4704,0.49,1424,1889,0.754,948,2782,3730,1748,562,380,1200,1782,8622,15-16,West,,,
7,Los Angeles Clippers*,82,19830,3141,6759,0.465,797,2190,0.364,2344,4569,0.513,1490,2152,0.692,721,2727,3448,1873,709,460,1063,1746,8569,15-16,West,,,
8,Cleveland Cavaliers*,82,19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555,15-16,East,,,
9,Washington Wizards,82,19755,3238,7033,0.46,709,1983,0.358,2529,5050,0.501,1349,1849,0.73,743,2688,3431,2005,708,323,1186,1708,8534,15-16,East,,,
10,San Antonio Spurs*,82,19705,3289,6797,0.484,570,1518,0.375,2719,5279,0.515,1342,1672,0.803,770,2831,3601,2010,677,485,1071,1433,8490,15-16,West,,,
11,Charlotte Hornets*,82,19855,3036,6922,0.439,873,2410,0.362,2163,4512,0.479,1534,1941,0.79,734,2869,3603,1778,595,438,1030,1487,8479,15-16,East,,,
12,Atlanta Hawks*,82,19830,3168,6923,0.458,815,2326,0.35,2353,4597,0.512,1282,1638,0.783,679,2772,3451,2100,747,486,1226,1570,8433,15-16,East,,,
13,New Orleans Pelicans,82,19780,3153,7040,0.448,702,1951,0.36,2451,5089,0.482,1415,1823,0.776,782,2712,3494,1818,633,342,1102,1713,8423,15-16,West,,,
14,Toronto Raptors*,82,19780,3006,6669,0.451,708,1915,0.37,2298,4754,0.483,1702,2190,0.777,836,2724,3560,1536,636,449,1073,1610,8422,15-16,East,,,
15,Minnesota Timberwolves,82,19880,3095,6668,0.464,455,1347,0.338,2640,5321,0.496,1753,2213,0.792,821,2587,3408,1916,656,375,1231,1696,8398,15-16,West,,,
16,Dallas Mavericks*,82,20005,3064,6900,0.444,806,2342,0.344,2258,4558,0.495,1454,1831,0.794,751,2781,3532,1813,560,306,1047,1595,8388,15-16,West,,,
17,Indiana Pacers*,82,19880,3142,6985,0.45,663,1889,0.351,2479,5096,0.486,1430,1872,0.764,847,2779,3626,1741,742,391,1219,1641,8377,15-16,East,,,
18,Orlando Magic,82,19905,3242,7120,0.455,636,1818,0.35,2606,5302,0.492,1249,1649,0.757,843,2709,3552,1933,673,417,1155,1701,8369,15-16,East,,,
19,Detroit Pistons*,82,19880,3111,7087,0.439,740,2148,0.345,2371,4939,0.48,1399,2095,0.668,1021,2777,3798,1594,573,304,1110,1557,8361,15-16,East,,,
20,Denver Nuggets,82,19830,3093,7003,0.442,656,1943,0.338,2437,5060,0.482,1513,1974,0.766,941,2718,3659,1858,609,395,1202,1723,8355,15-16,West,,,
21,Chicago Bulls,82,19905,3165,7170,0.441,651,1753,0.371,2514,5417,0.464,1354,1720,0.787,907,2889,3796,1870,495,470,1141,1545,8335,15-16,East,,,
22,Phoenix Suns,82,19705,3051,7018,0.435,738,2118,0.348,2313,4900,0.472,1431,1905,0.751,943,2733,3676,1701,632,313,1410,1858,8271,15-16,West,,,
23,Miami Heat*,82,19830,3150,6697,0.47,498,1480,0.336,2652,5217,0.508,1406,1889,0.744,807,2811,3618,1709,553,531,1155,1502,8204,15-16,East,,,
24,Memphis Grizzlies*,82,19830,3019,6859,0.44,504,1521,0.331,2515,5338,0.471,1584,2024,0.783,916,2497,3413,1697,724,350,1090,1783,8126,15-16,West,,,
25,Milwaukee Bucks,82,19830,3145,6740,0.467,440,1277,0.345,2705,5463,0.495,1392,1863,0.747,858,2559,3417,1895,672,475,1247,1695,8122,15-16,East,,,
26,Brooklyn Nets,82,19755,3136,6920,0.453,531,1508,0.352,2605,5412,0.481,1286,1699,0.757,863,2614,3477,1829,627,332,1212,1476,8089,15-16,East,,,
27,New York Knicks,82,19805,3022,6886,0.439,610,1762,0.346,2412,5124,0.471,1411,1753,0.805,850,2788,3638,1682,467,466,1099,1616,8065,15-16,East,,,
28,Utah Jazz,82,19955,2957,6593,0.449,694,1956,0.355,2263,4637,0.488,1402,1885,0.744,880,2665,3545,1555,631,425,1224,1655,8010,15-16,West,,,
29,Philadelphia 76ers,82,19805,2970,6887,0.431,764,2255,0.339,2206,4632,0.476,1284,1850,0.694,777,2605,3382,1765,680,495,1343,1780,7988,15-16,East,,,
30,Los Angeles Lakers,82,19730,2880,6956,0.414,639,2016,0.317,2241,4940,0.454,1583,2028,0.781,878,2645,3523,1478,593,337,1124,1662,7982,15-16,West,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
