RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,2016,82,73,9,West,242.4,42.5,87.3,.487,13.1,31.6,.416,29.4,55.7,.528,16.7,21.8,.763,10.0,36.2,28.9,8.4,6.1,15.2,20.7,114.9
2,Oklahoma City Thunder*,2016,82,55,27,West,241.8,41.1,86.4,.476,8.3,23.7,.349,32.9,62.6,.524,19.7,25.2,.782,13.1,35.6,23.0,7.4,5.9,15.9,20.6,110.2
3,Sacramento Kings,2016,82,33,49,West,241.5,40.0,86.4,.464,8.0,22.4,.359,32.0,64.0,.500,18.5,25.5,.725,10.6,33.7,24.5,8.9,4.5,16.2,20.4,106.6
4,Houston Rockets*,2016,82,41,41,West,241.8,37.7,83.5,.452,10.7,30.9,.347,27.0,52.6,.514,20.4,29.4,.694,11.3,31.7,22.2,10.0,5.2,15.9,21.8,106.5
5,Boston Celtics*,2016,82,48,34,East,241.2,39.2,89.2,.439,8.7,26.1,.335,30.5,63.1,.483,18.5,23.5,.788,11.6,33.3,24.2,9.2,4.2,13.7,21.9,105.7
6,Portland Trail Blazers*,2016,82,44,38,West,241.5,38.6,85.9,.450,10.5,28.5,.370,28.1,57.4,.490,17.4,23.0,.754,11.6,33.9,21.3,6.9,4.6,14.6,21.7,105.1
7,Los Angeles Clippers*,2016,82,53,29,West,241.8,38.3,82.4,.465,9.7,26.7,.364,28.6,55.7,.513,18.2,26.2,.692,8.8,33.3,22.8,8.6,5.6,13.0,21.3,104.5
8,Cleveland Cavaliers*,2016,82,57,25,East,242.1,38.7,84.0,.460,10.7,29.6,.362,27.9,54.4,.514,16.3,21.7,.748,10.6,33.9,22.7,6.7,3.9,13.6,20.3,104.3
9,Washington Wizards,2016,82,41,41,East,240.9,39.5,85.8,.460,8.6,24.2,.358,30.8,61.6,.501,16.5,22.5,.730,9.1,32.8,24.5,8.6,3.9,14.5,20.8,104.1
10,San Antonio Spurs*,2016,82,67,15,West,240.3,40.1,82.9,.484,7.0,18.5,.375,33.2,64.4,.515,16.4,20.4,.803,9.4,34.5,24.5,8.3,5.9,13.1,17.5,103.5
11,Charlotte Hornets*,2016,82,48,34,East,242.1,37.0,84.4,.439,10.6,29.4,.362,26.4,55.0,.479,18.7,23.7,.790,9.0,35.0,21.7,7.3,5.3,12.6,18.1,103.4
