RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,Milwaukee Bucks*,2015,72,46,26,East,240.7,44.7,91.8,.487,14.4,37.1,.389,30.3,54.7,.554,16.2,21.4,.760,10.3,37.8,25.5,8.1,4.6,13.8,17.3,120.1
2,Brooklyn Nets*,2015,72,48,24,East,241.7,43.1,87.3,.494,14.2,36.1,.392,29.0,51.2,.565,18.1,22.5,.804,8.9,35.5,26.8,6.7,5.3,13.5,19.0,118.6
3,Washington Wizards*,2015,72,34,38,East,241.7,43.2,90.9,.475,10.2,29.0,.351,33.0,61.9,.533,20.1,26.2,.769,9.7,35.5,25.5,7.3,4.1,14.4,21.6,116.6
4,Utah Jazz*,2015,72,52,20,West,241.0,41.3,88.1,.468,16.7,43.0,.389,24.5,45.1,.544,17.2,21.5,.799,10.6,37.6,23.7,6.6,5.2,14.2,18.5,116.4
5,Portland Trail Blazers*,2015,72,42,30,West,240.3,41.3,91.1,.453,15.7,40.8,.385,25.6,50.3,.509,17.8,21.6,.823,10.6,33.9,21.3,6.9,5.0,11.1,18.9,116.1
6,Phoenix Suns*,2015,72,51,21,West,242.8,43.3,88.3,.490,13.1,34.6,.378,30.3,53.7,.563,15.6,18.7,.834,8.8,34.2,26.9,7.2,4.3,12.5,19.1,115.3
7,Indiana Pacers,2015,72,34,38,East,242.4,43.3,91.2,.474,12.3,34.0,.364,30.9,57.3,.540,16.4,20.7,.792,9.0,33.7,27.4,8.5,6.4,13.5,20.2,115.3
8,Denver Nuggets*,2015,72,47,25,West,242.8,43.3,89.2,.485,12.9,34.2,.377,30.4,55.0,.552,15.7,19.5,.803,10.5,33.9,26.8,8.1,4.5,13.5,19.1,115.1
9,New Orleans Pelicans,2015,72,31,41,West,242.1,42.5,89.1,.477,10.6,30.4,.348,31.9,58.6,.544,19.0,26.1,.729,11.7,35.7,26.0,7.6,4.4,14.6,18.0,114.6
10,Los Angeles Clippers*,2015,72,47,25,West,240.0,41.8,86.7,.482,14.3,34.7,.411,27.5,52.0,.529,16.2,19.3,.839,9.4,34.7,24.4,7.1,4.1,13.2,19.2,114.0
11,Atlanta Hawks*,2015,72,41,31,East,241.7,40.8,87.2,.468,12.4,33.4,.373,28.4,53.9,.526,19.7,24.2,.812,10.6,35.1,24.1,7.0,4.8,13.2,19.3,113.7
12,Sacramento Kings,2015,72,31,41,West,240.3,42.6,88.6,.481,12.1,33.3,.364,30.5,55.3,.551,16.4,22.0,.745,9.4,32.0,25.5,7.5,5.0,13.4,19.4,113.7
13,Golden State Warriors,2015,72,39,33,West,240.3,41.3,88.2,.468,14.6,38.7,.376,26.7,49.4,.541,16.6,21.1,.785,8.0,35.1,27.7,8.2,4.8,15.0,21.2,113.7
14,Philadelphia 76ers*,2015,72,49,23,East,242.1,41.4,86.9,.476,11.3,30.1,.374,30.1,56.8,.531,19.6,25.5,.767,10.0,35.0,23.7,9.1,6.2,14.4,20.2,113.6
15,Memphis Grizzlies*,2015,72,38,34,West,241.7,42.8,91.8,.467,11.2,31.4,.356,31.7,60.4,.525,16.4,21.3,.771,11.2,35.3,26.9,9.1,5.1,13.3,18.7,113.3
16,Boston Celtics*,2015,72,36,36,East,241.4,41.5,88.9,.466,13.6,36.4,.374,27.9,52.5,.530,16.1,20.8,.775,10.6,33.6,23.5,7.7,5.3,14.1,20.4,112.6
17,Dallas Mavericks*,2015,72,42,30,West,240.3,41.1,87.3,.470,13.8,38.1,.362,27.3,49.2,.554,16.5,21.2,.778,9.1,34.2,22.9,6.3,4.3,12.1,19.4,112.4
18,Minnesota Timberwolves,2015,72,23,49,West,241.7,40.7,90.9,.448,13.1,37.6,.349,27.6,53.3,.518,17.6,23.1,.761,10.5,33.0,25.6,8.8,5.5,14.3,20.9,112.1
19,Toronto Raptors,2015,72,27,45,East,240.3,39.7,88.7,.448,14.5,39.3,.368,25.3,49.3,.512,17.4,21.3,.815,9.4,32.1,24.1,8.6,5.4,13.2,21.2,111.3
20,San Antonio Spurs,2015,72,33,39,West,242.8,41.9,90.5,.462,9.9,28.4,.350,31.9,62.1,.514,17.4,22.0,.792,9.3,34.6,24.4,7.0,5.1,11.4,18.0,111.1
21,Chicago Bulls,2015,72,31,41,East,241.4,42.2,88.6,.476,12.6,34.0,.370,29.6,54.6,.542,13.8,17.5,.791,9.6,35.3,26.8,6.7,4.2,15.1,18.9,110.7
