RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
20,Milwaukee Bucks*,2017,82,42,40,East,241.2,38.8,81.9,.474,8.8,23.7,.370,30.0,58.2,.516,17.2,22.4,.768,8.8,31.6,24.2,8.1,5.3,14.0,20.2,103.6
21,Atlanta Hawks*,2017,82,43,39,East,242.4,38.1,84.4,.451,8.9,26.1,.341,29.2,58.3,.501,18.1,24.9,.728,10.3,34.1,23.6,8.2,4.8,15.8,18.2,103.2
22,Miami Heat,2017,82,41,41,East,241.2,39.0,85.8,.455,9.9,27.0,.365,29.2,58.8,.496,15.2,21.6,.706,10.6,33.0,21.2,7.2,5.7,13.4,20.5,103.2
23,Chicago Bulls*,2017,82,41,41,East,241.2,38.6,87.1,.444,7.6,22.3,.340,31.0,64.8,.479,18.0,22.5,.798,12.2,34.1,22.6,7.8,4.8,13.6,17.7,102.9
24,Sacramento Kings,2017,82,32,50,West,242.4,37.9,82.1,.461,9.0,23.9,.376,28.9,58.2,.496,18.1,23.3,.775,8.7,32.3,22.5,7.6,4.0,14.6,20.3,102.8
25,Philadelphia 76ers,2017,82,28,54,East,241.8,37.7,85.3,.442,10.1,29.8,.340,27.5,55.5,.496,17.0,22.0,.771,9.8,33.0,23.8,8.4,5.1,16.7,21.9,102.4
26,Detroit Pistons,2017,82,37,45,East,241.5,39.9,88.8,.449,7.7,23.4,.330,32.2,65.5,.492,13.9,19.3,.719,11.1,34.6,21.1,7.0,3.8,11.9,17.9,101.3
27,Orlando Magic,2017,82,29,53,East,241.5,38.3,87.0,.440,8.5,26.1,.328,29.7,60.9,.488,16.0,21.4,.747,9.8,33.3,22.2,7.1,4.8,13.3,19.3,101.1
28,Utah Jazz*,2017,82,51,31,West,240.9,37.0,79.5,.466,9.6,26.0,.372,27.3,53.5,.511,17.1,22.9,.747,9.4,33.8,20.1,6.7,5.0,13.6,18.8,100.7
29,Memphis Grizzlies*,2017,82,43,39,West,242.7,36.4,83.6,.435,9.4,26.5,.354,27.0,57.1,.473,18.3,23.4,.784,10.8,32.0,21.3,8.0,4.2,12.9,22.4,100.5
30,Dallas Mavericks,2017,82,33,49,West,241.2,36.2,82.3,.440,10.7,30.2,.355,25.5,52.2,.489,14.8,18.5,.801,7.9,30.7,20.8,7.5,3.7,11.9,19.1,97.9
