RK,Team,Year,G,W,L,Conf,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,2008,82,48,34,West,241.2,41.5,90.3,.459,9.3,26.6,.348,32.2,63.7,.506,18.8,24.9,.752,12.7,30.4,22.4,9.1,4.6,13.2,22.9,111.0
2,Denver Nuggets*,2008,82,50,32,West,242.1,40.3,85.8,.470,6.9,19.6,.355,33.4,66.3,.504,23.1,30.7,.751,11.2,32.9,24.7,9.2,6.7,14.7,21.1,110.7
3,Phoenix Suns*,2008,82,55,27,West,241.2,41.4,82.7,.500,8.5,21.5,.393,32.9,61.2,.538,18.9,24.1,.783,8.8,32.7,26.7,6.5,6.3,14.4,19.9,110.1
4,Los Angeles Lakers*,2008,82,57,25,West,241.2,39.6,83.1,.476,8.1,21.4,.378,31.5,61.8,.510,21.3,27.7,.769,11.0,33.2,24.4,8.0,5.3,14.1,20.6,108.6
5,Utah Jazz*,2008,82,54,28,West,240.3,40.0,80.4,.497,5.0,13.4,.372,35.0,67.0,.522,21.3,28.0,.759,11.5,29.4,26.4,8.7,4.3,14.6,24.0,106.2
6,Orlando Magic*,2008,82,52,30,East,241.2,37.3,78.6,.474,9.8,25.3,.386,27.5,53.3,.516,20.1,27.9,.721,9.4,32.6,20.8,6.3,4.1,14.3,20.6,104.5
7,Indiana Pacers,2008,82,36,46,East,240.9,37.8,85.3,.444,9.2,24.6,.374,28.6,60.6,.472,19.1,24.9,.768,11.0,32.1,22.7,7.6,5.0,15.1,23.4,104.0
8,Sacramento Kings,2008,82,38,44,West,241.8,37.1,80.0,.464,6.2,16.7,.373,30.9,63.3,.488,22.1,27.7,.798,10.1,30.0,19.1,7.9,4.1,16.1,22.4,102.5
9,New Orleans Hornets*,2008,82,56,26,West,241.5,38.6,82.9,.466,7.7,19.8,.389,30.9,63.1,.490,16.0,20.8,.769,11.4,30.4,21.8,7.8,3.9,11.9,18.7,100.9
10,Memphis Grizzlies,2008,82,22,60,West,241.5,37.3,82.2,.454,7.6,21.7,.349,29.8,60.5,.492,18.5,25.6,.723,10.3,31.3,19.2,6.1,4.7,15.3,19.4,100.7
11,Boston Celtics*,2008,82,66,16,East,240.9,36.4,76.7,.475,7.3,19.1,.381,29.1,57.6,.506,20.5,26.5,.771,10.1,31.9,22.4,8.5,4.6,15.2,22.7,100.5
12,Dallas Mavericks*,2008,82,51,31,West,240.6,36.9,79.5,.464,6.0,17.1,.352,30.9,62.3,.495,20.6,25.3,.814,10.8,32.2,21.0,6.0,4.9,12.6,21.8,100.4
13,Toronto Raptors*,2008,82,41,41,East,241.8,38.4,82.0,.468,7.0,17.8,.392,31.4,64.2,.489,16.4,20.2,.812,9.6,30.4,23.8,7.0,4.1,11.7,19.5,100.2
14,Washington Wizards*,2008,82,43,39,East,242.7,36.4,81.6,.446,7.0,19.7,.356,29.4,62.0,.475,19.0,24.3,.782,12.3,29.3,19.6,7.7,4.8,13.2,19.6,98.8
15,Atlanta Hawks*,2008,82,37,45,East,242.1,36.3,79.9,.454,4.7,13.1,.356,31.6,66.8,.473,21.0,27.2,.772,12.3,29.9,22.0,7.3,5.5,14.9,20.4,98.2
16,Detroit Pistons*,2008,82,59,23,East,240.6,36.6,79.9,.458,5.9,16.2,.366,30.6,63.7,.481,18.4,24.0,.767,11.9,29.5,22.3,7.1,5.8,11.7,20.6,97.5
17,Seattle SuperSonics,2008,82,20,62,West,241.8,38.1,85.8,.444,3.8,11.5,.333,34.3,74.3,.462,17.5,22.8,.770,11.8,32.8,21.3,6.5,4.9,16.0,20.5,97.5
18,Chicago Bulls,2008,82,33,49,East,241.5,36.4,83.7,.435,5.8,15.9,.363,30.6,67.8,.452,18.7,24.7,.756,12.8,30.2,22.1,7.7,5.2,14.6,21.8,97.3
